id,titre,lien,note,nb_avis,img_url,category
17,Vol-au-vent aux blancs de poulet,/recettes/recette_vol-au-vent-aux-blancs-de-poulet_56428.aspx,4.5/5,"
            62 avis
        ",https://assets.afcdn.com/recipe/20181017/82887_w225h225c1cx1944cy2592cxt0cyt0cxb3888cyb5184.jpg,viande
18,Côtes de porc au four,/recettes/recette_cotes-de-porc-au-four_65338.aspx,4.4/5,"
            67 avis
        ",https://assets.afcdn.com/recipe/20200517/111300_w225h225c1cx1920cy2880cxt0cyt0cxb3840cyb5760.jpg,viande
19,Boeuf bourguignon : la vraie recette,/recettes/recette_boeuf-bourguignon_18889.aspx,4.8/5,"
            323 avis
        ",https://assets.afcdn.com/recipe/20220707/133382_w225h225c1cx1396cy931cxt0cyt162cxb2162cyb1386.jpg,viande
20,Tête de veau à la vinaigrette,/recettes/recette_tete-de-veau-a-la-vinaigrette_25659.aspx,4.6/5,"
            15 avis
        ",https://assets.afcdn.com/recipe/20220519/132113_w225h225c1cx3072cy1728cxt0cyt0cxb6144cyb3456.jpeg,viande
21,Escalopes milanaises comme en Italie,/recettes/recette_escalopes-milanaises-comme-en-italie_55750.aspx,4.8/5,"
            118 avis
        ",https://assets.afcdn.com/recipe/20160812/1830_w225h225c1cx2000cy3000.jpg,viande
22,Coq au vin maison,/recettes/recette_coq-au-vin-maison_25755.aspx,4.7/5,"
            129 avis
        ",https://assets.afcdn.com/recipe/20130910/547_w225h225c1cx1728cy2227.jpg,viande
23,Poulet rôti en cocotte au four,/recettes/recette_poulet-roti-en-cocotte-au-four_86353.aspx,4.8/5,"
            120 avis
        ",https://assets.afcdn.com/recipe/20130304/20512_w225h225c1cx256cy192.jpg,viande
24,Paupiettes de porc à la crème et aux champignons,/recettes/recette_paupiettes-de-porc-sauce-champignon-creme_172530.aspx,4.8/5,"
            117 avis
        ",https://assets.afcdn.com/recipe/20250526/160494_w225h225c1cx1944cy1296cxt0cyt0cxb3888cyb2592.jpg,viande
25,Délicieuse marinade pour poulet,/recettes/recette_delicieuse-marinade-pour-poulet_345860.aspx,4.4/5,"
            22 avis
        ",https://assets.afcdn.com/recipe/20200622/112020_w225h225c1cx2880cy1920cxt0cyt0cxb5760cyb3840.jpg,viande
26,Poule au pot à l'ancienne,/recettes/recette_poule-au-pot-a-l-ancienne_21529.aspx,4.7/5,"
            100 avis
        ",https://assets.afcdn.com/recipe/20130627/54701_w225h225c1cx1250cy1875.jpg,viande
