id_ingredient,singulier,pluriel,ingredient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g),norm_ing
00172,biscotte,biscottes,Biscotte,1660,"12,9","7,22","66,7","5,4","7,08",,"2,51",0,biscotte
00173,coeur,coeurs,Coeur,109,"1,8","< 0,5","2,31","1,2","3,2",,"< 0,01",,coeur
00174,os,os,,,,,,,,,,,
00175,guignolet,guignolets,Guignolet,,,,,,,,,,guignolet
00176,macreus,macreus,,,,,,,,,,,
00177,bavette,bavettes,Bavette,285,"15,1","0,74",traces,0,"< 0,2",,"0,2",25,bavette
00178,pintade,pintades,Pintade,601,"22,8","5,75",0,0,0,,"1,55","68,5",pintade
00179,pied,pieds,Pieds,769,"19,1",12,traces,,0,,,,pieds
00180,germe,germes,,,,,,,,,,,
00181,poisson,poissons,Poisson,604,"23,5","5,52",0,0,0,,"1,21","57,5",poisson
00182,ratte,rattes,Ratte,,,,,,,,,,ratte
00183,girolle,girolles,Girolles,137,"2,28","0,78","2,3","1,87","4,23",,"0,5",0,girolles
00184,poudre,poudre,,,,,,,,,,,
00185,volaille,volailles,Volaille,698,"27,6","5,96","0,28","0,0022","0,0013",,"1,77","99,3",volaille
00186,béchamel,béchamel,Béchamel,,"2,56","7,4","6,2","3,1","1,3",,"4,61",30,bechamel
00187,origan,origan,Origan,1100,9,"4,28","26,4","4,09","42,5",,"1,55",0,origan
00188,oie,oies,Oie,961,29,"12,7",0,,0,,,96,oie
00189,faisselle,faisselles,Faisselle,,"4,38",0,"4,44","3,99",traces,,0,"4,91",faisselle
00190,fécule,fécules,Fécule,1480,0,"0,2","86,3",,"0,55",,"0,039",0,fecule
00191,garam,garams,,,,,,,,,,,
00192,pignon,pignons,Pignons,,"16,2",65,"6,31","5,21",10,,"5,53",0,pignons
